hold	lock	stop	trail	months	wins	trades	total	avg	field_avg	lift	pos_years	n_years
20160	4	8	5	51	28	363	26.34	0.0726	-0.3839	0.4565	4	5
20160	4	8	6	51	27	350	-0.12	-0.0004	-0.3849	0.3845	4	5
20160	4	8	7	51	28	350	5.17	0.0148	-0.3844	0.3992	4	5
20160	4	8	8	51	29	357	12.99	0.0364	-0.3901	0.4265	4	5
20160	4	8.5	3	51	24	368	-182.59	-0.4962	-0.4286	-0.0676	3	5
20160	4	8.5	4	50	25	358	-62.41	-0.1743	-0.3766	0.2023	4	5
20160	4	8.5	5	51	26	357	-58.47	-0.1638	-0.3988	0.2350	4	5
20160	4	8.5	6	51	25	352	-80.75	-0.2294	-0.4002	0.1708	4	5
20160	4	8.5	7	51	27	355	-50.04	-0.1410	-0.3971	0.2562	4	5
20160	4	8.5	8	51	27	356	-51.09	-0.1435	-0.4052	0.2617	4	5
20160	4	9	3	50	23	353	-235.26	-0.6665	-0.5168	-0.1497	2	5
20160	4	9	4	51	27	354	-144.65	-0.4086	-0.4236	0.0150	3	5
20160	4	9	5	51	25	352	-165.73	-0.4708	-0.4121	-0.0587	3	5
20160	4	9	6	51	26	355	-154.98	-0.4366	-0.4126	-0.0240	3	5
20160	4	9	7	51	27	356	-136.94	-0.3847	-0.4091	0.0244	3	5
20160	4	9	8	51	27	356	-141.69	-0.3980	-0.4175	0.0195	3	5
20160	4	9.5	3	51	28	398	-81.41	-0.2045	-0.4225	0.2179	4	5
20160	4	9.5	4	51	26	379	-91.35	-0.2410	-0.3381	0.0971	3	5
20160	4	9.5	5	52	27	356	6.77	0.0190	-0.3026	0.3216	4	5
20160	4	9.5	6	51	26	352	-18.14	-0.0515	-0.3331	0.2816	4	5
20160	4	9.5	7	51	28	349	6.42	0.0184	-0.3365	0.3549	4	5
20160	4	9.5	8	51	28	351	9.07	0.0258	-0.3408	0.3667	4	5
20160	4	10	3	53	24	405	-117.36	-0.2898	-0.3340	0.0443	3	5
20160	4	10	4	51	30	352	9.94	0.0282	-0.3237	0.3519	4	5
20160	4	10	5	52	28	368	-9.09	-0.0247	-0.2869	0.2622	4	5
20160	4	10	6	51	27	347	-11.26	-0.0324	-0.3113	0.2789	4	5
20160	4	10	7	51	28	340	7.27	0.0214	-0.3077	0.3291	4	5
20160	4	10	8	51	28	341	-10.41	-0.0305	-0.3159	0.2854	4	5
20160	5	8	3	53	24	357	13.30	0.0372	-0.3722	0.4095	3	5
