hold	lock	stop	trail	months	wins	trades	total	avg	field_avg	lift	pos_years	n_years
17280	8	10	7	49	25	371	152.31	0.4105	0.1068	0.3037	4	5
17280	8	10	8	48	25	367	206.90	0.5638	0.1379	0.4259	5	5
18720	4	8	3	50	24	387	-12.65	-0.0327	-0.2013	0.1686	3	5
18720	4	8	4	53	27	369	110.97	0.3007	-0.1186	0.4193	4	5
18720	4	8	5	52	31	359	214.25	0.5968	-0.0516	0.6483	5	5
18720	4	8	6	52	30	356	196.33	0.5515	-0.0526	0.6040	5	5
18720	4	8	7	51	32	369	268.38	0.7273	-0.0494	0.7767	5	5
18720	4	8	8	51	32	366	246.82	0.6744	-0.0547	0.7290	5	5
18720	4	8.5	3	49	23	371	-83.21	-0.2243	-0.2050	-0.0192	3	5
18720	4	8.5	4	51	28	352	8.76	0.0249	-0.1001	0.1250	3	5
18720	4	8.5	5	50	26	333	72.43	0.2175	-0.0701	0.2876	3	5
18720	4	8.5	6	50	26	337	66.54	0.1974	-0.0753	0.2727	3	5
18720	4	8.5	7	49	27	366	164.63	0.4498	-0.0651	0.5149	4	5
18720	4	8.5	8	50	28	362	144.96	0.4004	-0.0632	0.4637	4	5
18720	4	9	3	50	26	416	-95.59	-0.2298	-0.2143	-0.0155	2	5
18720	4	9	4	50	30	361	-28.39	-0.0786	-0.0984	0.0198	3	5
18720	4	9	5	50	31	366	58.86	0.1608	-0.0825	0.2433	3	5
18720	4	9	6	50	31	356	69.96	0.1965	-0.0862	0.2827	3	5
18720	4	9	7	50	31	358	80.78	0.2256	-0.0867	0.3123	3	5
18720	4	9	8	51	32	361	74.14	0.2054	-0.0724	0.2778	3	5
18720	4	9.5	3	51	27	429	-0.56	-0.0013	-0.1572	0.1559	4	5
18720	4	9.5	4	52	32	366	105.90	0.2893	-0.0445	0.3339	3	5
18720	4	9.5	5	52	33	383	136.97	0.3576	-0.0708	0.4285	4	5
18720	4	9.5	6	52	31	366	97.86	0.2674	-0.0624	0.3298	4	5
18720	4	9.5	7	52	33	367	131.18	0.3574	-0.0739	0.4313	4	5
18720	4	9.5	8	52	32	366	134.87	0.3685	-0.0702	0.4387	4	5
18720	4	10	3	51	25	409	-23.96	-0.0586	-0.1314	0.0729	3	5
18720	4	10	4	53	35	345	162.54	0.4711	-0.0420	0.5131	4	5
18720	4	10	5	52	33	353	116.10	0.3289	-0.0648	0.3937	4	5
18720	4	10	6	52	33	352	113.68	0.3229	-0.0648	0.3877	4	5
18720	4	10	7	52	32	351	81.61	0.2325	-0.0835	0.3160	4	5
18720	4	10	8	52	31	334	90.44	0.2708	-0.0706	0.3413	4	5
18720	5	8	3	53	26	426	45.03	0.1057	-0.2037	0.3094	3	5
18720	5	8	4	53	33	344	84.58	0.2459	-0.0122	0.2581	3	5
18720	5	8	5	54	36	407	115.44	0.2836	-0.0173	0.3009	4	5
18720	5	8	6	54	34	400	93.45	0.2336	-0.0096	0.2432	4	5
18720	5	8	7	54	34	406	63.80	0.1571	-0.0303	0.1874	4	5
18720	5	8	8	54	33	410	2.71	0.0066	-0.0393	0.0459	4	5
18720	5	8.5	3	52	29	355	103.90	0.2927	-0.1863	0.4790	3	5
18720	5	8.5	4	53	32	336	21.51	0.0640	0.0184	0.0456	3	5
18720	5	8.5	5	52	31	417	121.47	0.2913	0.0194	0.2719	3	5
18720	5	8.5	6	53	31	405	40.32	0.0996	0.0284	0.0711	3	5
18720	5	8.5	7	52	30	403	23.37	0.0580	0.0091	0.0489	3	5
18720	5	8.5	8	52	29	412	-51.74	-0.1256	-0.0112	-0.1143	3	5
18720	5	9	3	52	30	388	100.09	0.2580	-0.1952	0.4531	3	5
18720	5	9	4	53	35	377	147.36	0.3909	-0.0099	0.4008	4	5
18720	5	9	5	53	33	436	237.90	0.5456	-0.0137	0.5594	4	5
18720	5	9	6	53	31	390	150.89	0.3869	0.0172	0.3697	5	5
18720	5	9	7	53	34	396	190.45	0.4809	0.0260	0.4549	5	5
18720	5	9	8	53	34	408	183.93	0.4508	-0.0000	0.4508	5	5
18720	5	9.5	3	54	29	413	75.73	0.1834	-0.1463	0.3296	3	5
18720	5	9.5	4	55	36	364	83.99	0.2308	-0.0130	0.2438	3	5
18720	5	9.5	5	53	34	444	298.77	0.6729	-0.0032	0.6762	5	5
18720	5	9.5	6	53	31	391	198.33	0.5072	0.0384	0.4689	5	5
18720	5	9.5	7	53	31	392	161.82	0.4128	0.0179	0.3949	5	5
18720	5	9.5	8	53	31	404	154.55	0.3825	0.0042	0.3783	5	5
18720	5	10	3	52	28	416	26.86	0.0646	-0.1746	0.2392	3	5
